Title,Location,Company,Salary,Summary
Staff Environmental Engineer or Geologist,"Boca Raton, FL 33487","Geosyntec Consultants, Inc.",None,"Prior internship or work experience in environmental consulting.Prior research experience in engineering, hydrogeology, geochemistry, or a related…"
Senior Environmental Engineer,"Indian Head, MD 20640",EHS Technologies,None,Experience: 20 years of work experience in environmental planning for the U.S. Navy.The successful candidate will have 20+ years of experience in environmental…
Water/Wastewater Engineer,"Bellevue, WA",Murraysmith,None,"Work with multi-disciplinary teams in planning, design, and construction for all sizes of water and wastewater utility conveyance, storage, and site development…"
Senior Environmental Engineer in Charlotte Office,"Raleigh, NC 27610 (Southeast Raleigh area)",Mid Atlantic,None,"7+ years of experience in civil, water resources or environmental engineering.Licensed Professional Engineer (PE) in North Carolina."
Early Career Environmental Compliance Consultant/Engineer -...,"East Norriton, PA",Rambøll,None,"As you work on challenging projects, you will be given increasing responsibility – while also being able to rely on experienced managers and colleagues to offer…"
Environmental Specialist,"Denton, TX 76207",Tetra Pak,None,Teamwork shills to develop and promote cooperative working relationships among departaments / cells and with all production shifts.
CIVIL ENGINEER,"Redstone Arsenal, AL",US Department of Defense,"$80,095 - $123,816 a year","Serves as Civil Engineer responsible for planning, coordinating, and executing design and construction supervision for the Missile Defense Agency's (MDA)…"
Environmental Microbiology,Hawaii,Association of Environmental Engineering and Scien...,None,"The successful candidate should have a background in environmental engineering, environmental science, environmental microbiology, molecular biology,…"
Experienced Environmental Scientist or Engineer - Sustainabi...,"Ann Arbor, MI 48108",LimnoTech,None,"Coursework or experience in environmental economics.Bachelor’s degree in environmental science, environmental engineering, or a related scientific discipline…"
Senior Environmental Engineer/Scientist,"Ann Arbor, MI",Haley & Aldrich,None,"Assist in developing scopes of work and manage implementation of site and remedial investigations by junior staff for soil, groundwater and vapor in accordance…"
ENVIRONMENTAL SPECIALIST,"Batavia, NY 14020",HP Hood LLC,None,"Job Knowledge: Displays knowledge of federal and state environmental regulatory programs, including PSM.Facilitate and manage environmental permitting such…"
Senior Environmental Engineer,"Wichita, KS 67209",Terracon,None,"In this role you will provide senior leadership and guidance to generate project opportunities in various industrial/manufacturing, developers, utilities, and…"
006DO3 - Environmental Engineer Sup 3,"Indianapolis, IN 46204 (Downtown area)",State of Indiana,None,The Environmental Engineer Supervisor works independently as a supervisor responsible for wastewater treatment plant and sewer construction permitting.
Senior Environmental Engineer,"San Antonio, TX 78249",Valero Energy Corporation,None,"Maintains up-to-date knowledge of existing and proposed federal, state and local environmental regulations to ensure continued compliance with regulatory and…"
"Safety, Health and Environmental Engineer","Lincoln, NE",Schneider Electric,None,"Ascertain level of pollution and recommend appropriate action to management to assure conformance with federal, state and local legislation and regulations…"
"Safety, Health and Environmental Engineer","Lincoln, NE",Schneider Electric,None,"Ascertain level of pollution and recommend appropriate action to management to assure conformance with federal, state and local legislation and regulations…"
Environmental Engineering Co-op - Summer 2021,"Boston, MA",Stantec,None,Candidates should be highly motivated and dependable students who are taking or have taken civil engineering design or construction management type courses.
Biodegradation of environmental plastic pollution,Michigan,Association of Environmental Engineering and Scien...,None,"The Fellow will be involved in all aspects of research, including design and execution of experiments, data analysis, manuscript preparation, and presentation,…"
Transportation Engineer Trainee (Target Class: Transportatio...,"Newington, CT",State of Connecticut - Department of Transportatio...,"$65,796 - $78,887 a year","Other minimum qualifications for this position are a general knowledge of transportation engineering theories, principles and methods; skill in use of computer…"
Global Environmental Process Compliance Manager,United States,Amazon.com Services LLC,None,"Experience using broad knowledge of environmental regulations, programs and processes.Implement scalable and sustainable solutions for managing environmental…"
"Energy, Environmental and Chemical Engineering","University, WA",Association of Environmental Engineering and Scien...,None,"The Chair is expected to be a role model and provide leadership in all matters of department policy, structure, and function including strategic planning,…"
Environmental Air Staff Engineer/Scientist,"Austin, TX 78746 (Barton Hills area)",Zephyr Environmental Corporation,None,"Performing air quality and environmental compliance tasks, including preparation of emissions inventories.This position is part of a team that assists Zephyr’s…"
Safety and Environmental Engineer,"Woodstock, IL 60098",Charter Manufacturing,None,Facilitate/Lead Safety Teams within the plant and participate on other teams when appropriate.Experience working with ISO-14000 environmental programs.
Water Treatment Specialist - Engineer,"Tacoma, WA","CH2O, Inc.","$4,000 - $6,000 a month","In addition to these duties, this person will conduct site surveys and develop water management plans relating to the control of legionnaires disease."
ENVIRONMENTAL SCIENCE SPECIALIST-PERMIT WRITER,"Phoenix, AZ 85007 (Central City area)",State of Arizona,None,"As an Environmental Science Specialist, we will rely on you to review permit applications and develop permits for the Arizona Pollutant Discharge Elimination…"
URBAN DESIGN ENGINEER,"Des Moines, IA","Polk County, IA","$99,159 - $130,770 a year","Conducts subdivision plat review and site plan review for compliance with engineering, road design, utility, and stormwater design standards."
Project Environmental Engineer,"Garden City, ID 83703 (Winstead Park area)","NewFields Mining & Energy Services, LLC","$70,000 - $90,000 a year","Supporting large engineering design projects and leading small engineering design projects including, development of design drawings, technical specifications,…"
Civil / Environmental Engineer,"San Francisco, CA",ERRG,None,"Minimum of 5 years previous experience in environmental remediation and civil construction projects.Develop, implement, and maintain procedures and programs to…"
Environmental Supervisor,"Casper, WY 82609",Sinclair Casper Refining Company,None,Key emphasis on strategically leading and tactically driving environmental department and other refinery departments to develop and manage compliance efforts.
"Graduate Engineer A, B or Engineer A, B or C (Infrastructure...","Austin, TX 78701 (Downtown area)",City of Austin,$37.12 - $49.18 an hour,"This Engineer position is part of the Infrastructure Management Division at Austin Water.The ideal candidate should have experience with Project Management,…"
Geotechnical Engineer,"Sacramento, CA 95811 (Downtown area)",The Talent state,"$100,000 - $140,000 a year","Must have a proven track-record of performance in upper management, a strong work-ethic, and desire to participate as a team player."
ASSOCIATE ENGINEER - CIVIL (Water Quality) (PE Not Required),"San Jose, CA 95118 (Almaden Valley area)",Valley Water,"$10,291 - $13,175 a month","Practices of researching engineering and design issues, evaluating alternatives, making sound recommendations, and preparing and presenting effective and…"
590568 - Entry - Level Geotechnical Engineer,"Acton, MA 01720",Geosyntec Consultants,None,"As a Entry – Level Geotechnical Engineer in Acton, MA you will have the opportunity to apply your academic knowledge to real-world situations on projects…"
Environmental Test Engineer,"El Segundo, CA 90245","Millennium Space Systems, A Boeing Company",None,"Previous environmental test experience or exposure.Supporting assembly, test, installation and troubleshooting of wire harnesses, chassis, and cables using…"
Science Associate for environmental software company,"Santa Cruz, CA 95062",2NDNATURE Software Inc.,None,"1-2 years of experience using Esri GIS software.Microsoft Office, Adobe Creative Suite, etc.) and have technical expertise in some area of environmental…"
Entry Level Geotechnical Engineer,"Somerset, NJ",CME Management,None,CME has an opening for an Entry Level Geotechnical Engineer.This position will directly support the Construction and Geology departments and may assist other…
Electromagnetic Environmental Effects Engineer,"Hawthorne, CA 90250 (North Hawthorne area)",SpaceX,None,"Knowledge of electromagnetic environmental effects on space vehicles and launch vehicles, including, effects of space plasma, on-orbit charging, triboelectric…"
Environmental Science and Engineering Fellowship,"Canton, MA 02021",Neponset River Watershed Association,"$33,800 a year",Another core responsibility will be a leadership role in organizing spring and fall river-cleanup events.The Fellowship is open to applicants who have recently…
Entry to Mid-Level Water Resources Engineer,"Wichita, KS",Wood Plc,None,"Assist in the collection, monitoring, analysis, and design of environmental systems.Assist in the design of water, wastewater, and stormwater systems."
Floating Solar Projects Engineer,"Spring, TX",Suniboat,None,They are responsible for the floating solar system design and complete execution of the floating solar plant.Understanding of specific challenges in deployment…
Environmental Protect Spcl III,"Houston, TX 77023 (Greater Eastwood area)",Dept of State Health Services,"$3,763 - $6,149 a month","Conducts compliance and complaint investigations, writes reports related to compliance and enforcement of state and federal laws, rules and regulations using…"
Mid-Level Environmental Scientist Geologist Engineer,"Chicago, IL 60612 (East Garfield Park area)",Specialty Consulting Inc.,None,"Provide field and office support on a variety of environmental services including Phase I and Phase II Environmental Site Assessments, environmental remediation…"
Specialty Engineer,United States,SM&A,$60 an hour,Some of the typical Specialty Engineering efforts include at least some of the following: Affordability/Cost- Effectiveness/Life Cycle Cost analysis;…
Project Geologist or Environmental Engineer,"Anchorage, AK",SLR Consulting,None,"Knowledge of Alaska environmental regulations.SLR provides great opportunities for growth and gaining broad experience in site investigation and cleanup, waste…"
"Design Engineer - Mechanical, Chemical or Environmental Engi...","Temecula, CA",Salt Lake Recruiters,None,"At this time, we are only considering candidates with at least 3 years of extensive SolidWorks design experience.Three years of SolidWorks Experience."
Pressure and Environmental Sensing Hardware Engineer,"Santa Clara Valley, CA 95014",Apple,None,"Experience in architecture, design, characterization, and validation of physical sensing systems that includes theory of operation, signal processing,…"
Civil/Stormwater Engineer,"Seattle, WA",Environmental Science Associates,None,"These projects often require site civil design, half-street improvements, stormwater design (LIDA, vegetated infiltration rain gardens/swales, detention/flow…"
Water Resource Engineer / Hydrodynamic Modeler,"Sacramento, CA 94204 (Erikson Industrial Park area)",Jacobs,None,"We are looking for a passionate and dedicated Water Resources Engineer /Hydrodynamic Modeler in Sacramento, CA who will support local and regional water…"
Environmental Engineer/ Professional/ Technician,"Traverse City, MI 49684 (Downtown area)","Otwell Mawby,P.C.",None,"An ideal candidate will have two to five years of experience and education in an environmental science, engineering or an engineering related field."
"Facilities Process Water Engineer, Gigafactory Texas","Austin, TX",Tesla,None,Integrate and standardize best safety practices for all chemical distribution and water purification and treatment systems.Strong data and system analysis.
Sr Civil Environmental Engineer,"Salem, NH 03079",Tetra Tech,None,"Identify and apply Best Management Practices (BMP) in design and construction phases of a project.Ensure standard engineering, scientific, and construction…"
Geotechnical Field Engineer- Phoenix,"Phoenix, AZ 85040 (South Mountain area)","WTI, Inc.",None,Assist in analysis of soil to determine engineering characteristics.Collect and oversee soil and rock sampling.Perform and oversee laboratory tests.
Environmental H&S Engineer,"Salt Lake City, UT",Chipton-Ross,Up to $40 an hour,"The EHS Engineer will actively collaborate and participate as a valued member of the EHS team to provide EHS guidance, technical support and coordinate…"
Water Purification Engineer - Fremont Facilities,"Fremont, CA",Tesla,None,Integrate and standardize best safety practices for all chemical distribution and water purification and treatment systems.Strong data and system analysis.
Environmental Scientist/Engineer,"San Antonio, TX 78217 (Oak Grove Estates area)",AGEISS Inc.,None,Shall also possess a working knowledge of other Federal environmental statutes and state-specific regulations such as each State Environmental Protection Act…
Junior Engineer,"Pasadena, CA 91101 (South area)",Northwest Hydraulic Consultants,None,"Typical assignments include numerical hydrologic and hydraulic modeling, water resources engineering design, data analysis, field hydrometric measurements, and…"
"592752 - Staff Environmental Engineer, Geologist or Scientis...","Kansas City, MO",Geosyntec Consultants,None,"Groundwater and soil remedy evaluation, cost estimation, design calculations, and implementation;Advanced degree in geology or environmental engineering."
Environmental Engineer/Scientist - Air Quality,"Houston, TX 77002 (Downtown area)",Jacobs,None,"As the Environmental Engineer you'll support multi-media environmental projects, regulatory strategy, compliance and permitting.Ideally, You’ll Also Have:"
Environmental Engineer / Geologist,"Orange, CA 92867",Eco & Associates,None,"Management will include supervision of environmental assessments and investigations, remedial design and implementation, field mapping, overseeing completion of…"
Principal/Sr. Principal Environmental Engineer (Air Quality),"Redondo Beach, CA 90278",Northrop Grumman,None,"Reviews and analyzes environmental documentation issued by the federal EPA, state and local regulatory agencies.Travel Required: Yes, 10 % of the Time."
Principal/Sr. Principal Environmental Engineer (Air Quality),"Redondo Beach, CA 90278",Northrop Grumman,None,"Reviews and analyzes environmental documentation issued by the federal EPA, state and local regulatory agencies.Travel Required: Yes, 10 % of the Time."
Environmental Scientist / Geologist / Engineer,"Township of Hamilton, NJ",Wood Plc,None,"Conducts engineering or scientific calculations; coordinates geometry; performs minimal design work, preliminary analysis and layout."
Engineer II - Capital Projects,"Shoreline, WA","City of Shoreline, WA","$91,038 - $115,377 a year","This position will manage design and construction of projects in transportation, surface water and wastewater, and play a key role in developing the Public…"
Entry Level Water Resource Engineer,"Manteca, CA 95337",Dewberry,None,Support Project Engineers and Project Managers with various tasks associated with water/wastewater/storm drainage facilities project development and design.
"Process Engineer, Entry level","Kansas City, MO 64131 (Red Bridge North area)",Carollo Engineers Inc.,None,"Work on engineering planning and design projects.Minimum academic requirements include coursework in physical, chemical, and biological processes; hydraulics;…"
Environmental Engineer,"Dahlgren, VA","Eastern Research Group, Inc.",None,"We hire people with the best minds, and then provide them with a vibrant and flexible environment in which to develop their careers."
Entry - Level Geotechnical Engineer,"Acton, MA 01720","Geosyntec Consultants, Inc.",None,"As a Entry – Level Geotechnical Engineer in Acton, MA you will have the opportunity to apply your academic knowledge to real-world situations on projects…"
Entry-Level Civil/Environmental Engineer,"Salisbury, MD",GMB,None,Responsibilities include engineering design of various infrastructure projects under the supervision of a P.E.
SR. ENVIRONMENTAL SCIENTIST / ENGINEER,"Springfield, MA 01103 (Metro Center area)","O’Reilly, Talbot & Okun",None,"Perform environmental (soil, water, air) and building materials sampling activities.3-5 years of relevant field experience collecting environmental and…"
Environmental Engineer/Scientist,"Grand Rapids, MI 49512",Barr Engineering,None,Intrinsic motivation with an emphasis on client service and cultivating a career in environmental consulting.3+ years of professional experience with state and…
Environmental Project Manager/Engineer,"Houston, TX 77066",Braun Intertec,None,"Manage and design aspects of the Environmental Compliance and Permitting program in the Houston, TX area.Minimum 5 years of direct environmental regulatory…"
Junior Air Dispersion Scientist / Engineer,"Durham, NC",Wood Plc,None,"Recent master’s or bachelor’s degree in science or engineering (environmental engineering, civil engineering, environmental science, atmospheric science,…"
Senior Fisheries Engineer,"Gig Harbor, WA 98332",HDR,None,"Proven experience managing data collection, planning, feasibility, alternatives analysis, and design projects."
Engineer-in-Training,"Lexington Park, MD 20653",Bob Taylor Engineering,None,Tuition assistance may be available for the successful candidate.
Office Engineer,"New York, NY",Michael Baker International,None,"Michael Baker International is a leading provider of architectural, engineering and consulting services, including design, planning, environmental, construction…"
Environmental Monitoring Mission Engineer Lead,"El Segundo, CA",ManTech International Corporation,None,Electrical engineer with at least 15 years experience in engineering and at least a Master’s Degree in a related engineering discipline.
2021 Water Staff Engineer - CT,"Middletown, CT 06457",Tighe & Bond,None,"Internship or work experience in engineering design, survey, permitting, and/or construction observation preferred."
Commissioning Engineer (Renewable Energy),"Tualatin, OR",DMT Clear Gas Solutions,None,"Contribute in people development (e.g. coach junior engineers).Work Preparation prepare for jobs by reviewing and Interpreting maintenance manuals, schematics,…"
Mechanical/Process Engineer,"Los Alamos, NM 87544",Tetra Tech,None,"The Process Engineer is expected to lead engineering design and compliance monitoring activities associated with groundwater and surface water remediation,…"
Entry Level Design Engineer (Roadway & Drainage),"Jacksonville, FL 32256",Osiris 9 Consulting,None,"Under the oversight of senior level staff, engineering design including 3D geometric design of freeways, highways and streets."
Environmental Engineer,"Burlington, NJ",Atlas Technical Consultants,None,"Provides technical support to projects in all phases of work and a variety of scopes that include conceptual design, site characterization, remediation design,…"
ENGINEER IN TRAINING,"Houston, TX 77074 (Sharpstown area)",ARKK Engineers,None,"Assist with the preparation of preliminary engineering reports and feasibility studies including evaluating design alternatives, provide design recommendations…"
Environmental Specialist (Heavy Civil Construction),"Idaho Falls, ID",Granite Construction Inc,None,"This position is responsible for coordinating an environmental program using established guidelines, including all aspects of the permitting and compliance…"
"Health, Safety, & Environmental Engineer","Sylacauga, AL",IKO Industries Ltd.,None,Responsible for preparing and maintaining all plant environmental and regulator records.Provides hands-on guidance to Plant leadership & Supervisors regarding…
Lead Material Science Engineer Environmental Compliance,"Tempe, AZ",ViaSat,None,"Collaborating closely with the various program managers/program teams, supply chain, design engineers, component engineers and other to discuss findings, issues…"
Staff Engineer/Geologist (Associate Level),"Irvine, CA",ERM Group,None,3 to 7 years of relevant environmental experience including environmental field work.Perform Phase I and II environmental site assessments to support property…
ENVIRONMENTAL COORDINATOR/ENGINEER,"Erie, PA 16501",National Fuel Gas Company,None,"The successful candidate will be required to pass a DOT mandated drug test, as well as participate in random drug testing.401(k) with Company Match."
One Water Engineer - Sacramento,California,Open Positions at WSC,None,"You will lead and be a part of multi-disciplinary teams that plan, design, and manage water infrastructure.You will oversee water, wastewater and/or recycled…"
Stormwater/Stream Restoration Design Engineer,"Lakewood, CO 80226",Muller Engineering,"$72,280 a year","Preparation of construction drawings using AutoCAD Civil 3D (or Microstation and Inroads), development of specifications, technical report writing, construction…"
Water Resource Engineer - Entry Level,"Columbus, OH 43201 (The Ohio State University area)",Jacobs,None,"With Jacobs, you’ll work on green infrastructure, stormwater collection/conveyance, water and wastewater projects to provide site/civil, process mechanical and…"
Environmental Task Manager / Environmental Scientist,"Roseville, CA 95678 (Creekside area)",Arcadis,None,To develop cost estimates for establishing budgetary estimates.Cost estimating experience – candidate should have experience with routine environmental tasks …
Environmental Project Manager/Engineer,"Cary, NC 27512",Jacobs,None,"Professional experience in environmental characterization/remediation projects, including environmental sampling and subcontractor oversight."
Senior Geotechnical Engineer,"Bothell, WA 98011 (North Creek area)",NV5,None,"Strong analytical, communication and writing skills for preparation of technical design reports.LRFD design methods and multiple geotechnical software programs…"
Senior Environmental Planner,"Lakeland, FL 33815",RK&K,None,"Bachelor’s degree in environmental planning, environmental science, environmental engineering or a related field.Master’s degree a plus."
Engineer,"Jefferson City, MO 65101",State of Missouri,"$45,720 - $60,144 a year","Learn to develop detailed, professional plans and specifications for constructing abandoned mine land reclamation projects and designs using sound engineering…"
Entry Level Engineer - Nationwide,"Highlands Ranch, CO",Arcadis,None,"Successful candidates can expect to work on teams, which are staffed with engineers and scientists from various backgrounds and experience levels and may…"
Surface Water Engineer,"Glenwood Springs, CO 81601",AECOM,None,+ Provides guidance to entry level engineers.+ Performs specific and limited portions of a broader assignment of an experienced engineer.
Senior Water Engineer,"Sparks, NV 89434",Tesla,None,"Assist with system design, construction, commissioning.5-10 years chemical distribution, industrial waste treatment, and/or waste system design and operation…"
Computational Engineer,"Allston, MA",Harvard University,None,"As part of the Computing in Engineering Education (CEE) team, this position will work with SEAS faculty and teaching staff to develop and implement…"
Water Resources Engineer,"Marietta, GA 30067","Engineering Design Technologies, Inc","$63,000 - $93,000 a year","Have a minimum of a bachelor’s degree in civil or environmental engineering, or related field,.A metro-Atlanta, GA based full-service engineering and…"
Sr Safety Environmental Eng,"Wilkes-Barre, PA 18702",General Dynamics Ordnance & Tactical Systems,None,"Serves on various plant teams to facilitate environmental & safety initiatives.Conducts inspections as appropriate to evaluate environmental, safety and…"
Planning Engineer - Water Business - Tampa,"Tampa, FL 33607",Black & Veatch Corporation,None,Intermediate knowledge of engineering design principles and applicable design guides and standards related to assigned engineering discipline.
Engineer I - Transportation,"Plano, TX 75024",Pape-Dawson Engineers,None,Identify and analyze the principle design features and major design alternatives that satisfy a project’s purpose and need.
Senior Process Engineer,"Blaine, WA","Eichleay, Inc.",None,"A typical day consists of working in a highly collaborative environment alongside process engineers, optimization engineers and other refinery departments,…"
Environmental Engineer Specialist 3 - Waste Programs,"Phoenix, AZ 85007 (Central City area)",AZ Dept of Environmental Quality,"$70,000 - $75,000 a year","Knowledge of subsurface contaminant remediation, Feasibility Studies, and remedial design at leaking UST sites; wide range of knowledge with various contaminant…"
Environmental Air Specialist,"Tulsa, OK","Magellan Midstream Partners, L.P.",None,"Review and understand all existing applicable federal, state, and local air regulations that apply to Magellan assets."
Environmental Services Program & Development Manager,"Sioux City, IA",City of Sioux City,"$70,325 - $98,467 a year","The employee develops and manages environmental program concepts, rules, and policies in program areas such as integrated solid waste management, hazardous…"
Water Resources Engineer,"New York, NY",Solved Engineering Inc.,None,"The successful candidate will work primarily on green infrastructure design, stormwater management design, flood resiliency studies, drainage studies,…"
Environmental Stormwater and Wetlands Specialist,"Naperville, IL 60563",Weaver Consultants Group,None,"Conduct Phase I/Phase II environmental site assessments (ESA), groundwater monitoring and sampling and remediation oversight and documentation."
Assistant Research Engineer - Civil and Environmental Engine...,"Berkeley, CA 94720",University of California Berkeley,None,The candidate will lead research studies to: develop and apply methods for wastewater-based epidemiology; characterize changes to the microbial community and…
Environmental Engineer Project Manager (Sage ATC),"Baton Rouge, LA 70809",Atlas Technical Consultants,None,​Project Managers (PMs) are key individuals within the company that are seen as environmental professionals with extensive knowledge of state and federal…
Senior Environmental Scientist/Engineer – Global Water Focus...,"Maplewood, MN",3M,None,"Experience in process engineering, design engineering, project management and/or manufacturing/production.Collaborate across corporate EHS, area/site EHS teams…"
GRADUATE ENGINEER,"Brownsville, TX 78521",Brownsville Public Utilities Board (BPUB),"$54,064 a year","Assists in all phases of engineering duties within the water, wastewater, environmental, and electrical systems, including preventive maintenance implementation…"
Hydraulics Engineer- Peoria and Tuscon,United States,Axiscades,None,"The typical work for this role will primarily involve to select the pumps, valves, cylinders and other major hydraulic components, and the candidate must be…"
Environmental/Air Quality Engineer,"Chapel Hill, NC 27517",SC&A Inc,None,Assist in preparing environmental guidance documents.Perform environmental calculations based on provided methodologies.Knowledge of air dispersion models.
Research Air Quality Engineer,"Durham, NC 27709",RTI International,None,The successful candidate must quickly integrate into the Air Quality Engineering group and be able to lead federal air quality regulatory development projects…
Environmental specialist / engineer,"Morristown, NJ",Mott MacDonald,None,"Our environmental staff has worked with our own, our clients', and other consultants’ planning and design teams for major projects, including current major…"
Environmental Program Supervisor,"Johnston, IA 50131",State of Iowa Talent Gateway,"$66,518 - $102,419 a year","Plan, program and oversee an annual federal budget for environmental requirements and ensure compliance with state and federal fiscal responsibilities."
Supplier Engineer,"Tucson, AZ",Raytheon Missiles & Defense,None,Supplier Engineers drive Raytheon design requirements to improve manufacturing and quality capabilities of suppliers.Familiarity of Export/Import regulations.
"Environmental Engineer/Geologist/Scientist, Remediation Mana...","Ewing, NJ",ERM Group,None,"BS in engineering (chemical, civil, or environmental), geology, or environmental science or related degree.Prepare environmental compliance plans, permits, and…"
"Environmental Engineer/Geologist/Scientist, Remediation Mana...","Ewing, NJ",ERM Group,None,"BS in engineering (chemical, civil, or environmental), geology, or environmental science or related degree.Prepare environmental compliance plans, permits, and…"
"THAAD Environmental Test Engineer - Orlando, FL","Orlando, FL 32819 (Florida Center area)",LOCKHEED MARTIN CORPORATION,None,"Lockheed Martin’s Missiles & Fire Control division in Orlando, FL has tremendous opportunities for individuals with Systems Integration and Test experience to…"
Environmental Scientist/Engineer,"Chicago, IL",Tetra Tech,None,"Qualified candidates will have about 7-15 years of environmental consulting or related experience.Knowledge of federal, state and local regulations."
Environmental Program Supervisor (Land Conservation and Mana...,"Alachua County, FL","Alachua County, FL","$74,506 a year","Thorough knowledge of local ordinances, state laws and federal regulations governing environmental issues.Bachelor's degree in environmental or natural science…"
Environmental Engineer III (E3),"Santa Clara, CA",Applied Materials Inc.,None,Interfaces with internal and external customers regarding environmental issues.Ensures proper investigations of environmental events and drive corrective…
Staff Engineer - Albuquerque,"Albuquerque, NM","WTI, Inc.",None,"Study the nature of ground and surface waters, soils, bedrock and environmental effects for land use and planning.Collect and oversee soil and rock sampling."
Environmental Health and Safety Engineer,"Three Rivers, MI",ABG Operating LLC,"$70,000 - $75,000 a year","Find solutions to unsafe working conditions and environmental concerns.Demonstrate excellent organization and project coordination skills, with the ability to…"
Utilities Engineer I,"Cedar Rapids, IA 52402","City of Cedar Rapids, IA","$65,603 - $88,608 a year","Develops, manages, and implements capital improvement projects and performs design reviews for public and private projects.Valid U.S. Driver’s License."
Chemist - Environmental Laboratory,"Bremerton, WA 98337",Metropolitan Solutions,From $15 an hour,Will be required to participate on various teams and assist with development of goals for Purchasing and Quality teams.Chemist Position Available Analyst I.
Engineer I,Florida,University of Florida,"$44,700 a year","Experience that equipped the applicant with knowledge of hydrology, irrigation, and soil and water sampling methods; ability to learn new skills on the use of…"
ENVIRONMENTAL SERVICES ASSISTANT COMMISSIONER,"Concord, NH 03305",The State of New Hampshire,"$89,347 - $124,580 a year",Familiarity with current state and federal environmental standards and new proposed standards.Provides the necessary oversight and leadership so that…
"Graduate Sustainability Engineer, Boston","Boston, MA",BuroHappold Engineering,None,"You will be technically and creatively challenged on projects that include design innovation and/or high-performance aspirations, working closely with senior…"
Senior Environmental Analyst - Resources Early Engagement En...,"Santa Clara Valley, CA 95014",Apple,None,"Most projects will include gathering, developing, and integrating detailed material data, understanding material production methods and manufacturing processes,…"
Environmental Engineer III,"Boston, MA 02122 (South Dorchester area)",Dept of Environmental Protect,"$64,295 - $94,120 a year","The applicant will assist in overseeing contractors, participate in advisory committees, represent the MassDEP Drinking Water Program on committees, assist in…"
Environmental Engineer - 4 to 6 Years Experience,"San Francisco, CA","Langan Engineering and Environmental Services, Inc...",None,"4 to 6 years of related experience in environmental engineering investigation, risk evaluation, and design for vapor mitigation systems;"
Environmental Engineer - 4 to 6 Years Experience,"San Francisco, CA","Langan Engineering and Environmental Services, Inc...",None,"4 to 6 years of related experience in environmental engineering investigation, risk evaluation, and design for vapor mitigation systems;"
Senior Environmental Engineer,"Lehigh Valley, PA",Morrissey Goodale,None,"Collaborate with environmental scientists, planners, hazardous waste technicians, engineers, experts in law or business, or other specialists to address…"
583288 - Staff Water Resources Engineer,"Austin, TX",Geosyntec Consultants,None,"Watershed, stormwater management, and stream restoration design and analysis;Green infrastructure/low impact development best management practice design;"
Engineer III-Environmental,"Springfield, MO 65802 (Midtown area)",City Utilities of Springfield,None,"Monitors all changes in federal and state environmental air quality laws and regulations.Working knowledge of the use and application of federal, state, and…"
Air Quality Engineer,"Windsor, CO",Cermak Peterka Petersen (CPP),"$60,000 - $75,000 a year","Coordinates with design, model shop and wind tunnel personnel to ensure accuracy of project drawings, building models and data collection."
Environmental Chemist (Lab),"Richmond, CA",ICF,None,Minimum 2 years laboratory experience in environmental analytical instrumentation such as ion chromatography or auto-analyzers using EPA methodologies.
Water/Wastewater Engineer,"Minneapolis, MN 55435",Barr Engineering,None,"Strong technical skills in a wide range of analysis and design related to water and wastewater engineering.Master’s degree in civil, environmental, or chemical…"
Water Resources Engineer,"New York, NY 10005 (Financial District area)",NV5,None,"The successful candidate will work primarily on green infrastructure design, stormwater management design, flood resiliency studies, drainage studies,…"
TD WATR Facilities Engineer,"Hillsboro, OR 97124",Intel,None,Maintain Plan of Record documentation and specifications governing system design troubleshooting.Operation design and construction standard practices.
Water Engineer,"Rochester, NY",Wendel Companies,None,"This position will serve as both a technical lead and project manager for medium to large scale study, design and construction projects involving water…"
Environmental Specialist,"Mount Pleasant, WI",Foxconn,None,"Developing and maintaining the standardized operational procedures in accordance with the environmental compliance, interpreting the environmental disturbance…"
Environmental Specialist Senior,"Des Moines, IA 50313",State of Iowa Talent Gateway,"$54,454 - $83,990 a year","Duties also include developing internal Standard Operating Procedures (SOPs) and guidance documents, identifying needed legislative changes and coordination…"
Water/Wastewater Engineer,"Honolulu, HI",Brown and Caldwell,None,"Prepare and review technical analyses and calculations for drinking water, recycled water, and wastewater planning and design.EIT preferred, PE a plus."
Project Engineer - Environmental Remediation,"Harrisburg, PA 17101",Groundwater & Environmental Services,None,10+ years of environmental engineering experience in a consulting environment.Acts as the lead engineer on large-scale proposal efforts.
Water/Wastewater Engineer,"New York, NY 10259 (Midtown area)",AECOM,None,+ Conducts engineering design under the supervision of an experienced engineer.+ Builds analytic and design skills.+ Must have a valid driver’s license.
Junior Civil/Environmental Engineer,"Scarborough, ME 04074",TRC Companies Inc,None,"Our engineering staff provide engineering design and technical support on challenging projects including site design and land development, renewable energy…"
Photovoltaic Engineer,"Troy, MI 48084",Artisan Consulting,None,Perform computer simulation of solar photovoltaic generation performance using tools such as PVWatts to estimate energy production and optimize efficiency.
Entry-Level / Junior Environmental Engineer,"Novi, MI 48377",Arcadis,None,"Assist with design calculations for the selection of treatment technologies and process design drawings for groundwater, industrial, water, and wastewater."
Environmental Process Engineer,"Lafayette, IN 47905","Subaru of Indiana Automotive, Inc.",None,"Co-develop and document efficient waste handling and export processes; assist contract support functions with time studies, route analyses, and capacity studies…"
